task	difficulty	model	mixer	rank	seq_len	seed	steps	params_m	mixer_macs_g	seconds	train_loss	train_acc	val_loss	val_acc	gamma_over_mu	effective_rank	correction_ratio
intrinsic_rank	4	mha	mha	0	129	1	500	0.240386	0.023851584	4.501254400000107	0.11614130437374115	0.9609375	0.42381078377366066	0.8828125			
intrinsic_rank	4	nystrom-r32	nystrom	32	129	1	500	0.259106	0.019747104	11.325957500001095	0.021420761942863464	0.9921875	0.4772546850144863	0.89990234375			
intrinsic_rank	4	performer-r32	performer	32	129	1	500	0.240386	0.01907136	6.0735139999997045	0.046540267765522	0.984375	0.4769296832382679	0.8974609375			
intrinsic_rank	4	lsso-r4	lsso	4	129	1	500	0.18857	0.008054976	5.311000500001683	0.06999841332435608	0.96875	0.2044968269765377	0.91650390625	0.008905050655206045	3.0341502825419107	0.2736261337995529
intrinsic_rank	4	lsso-r8	lsso	8	129	1	500	0.193178	0.009040128	4.8628880999985995	0.10336190462112427	0.9609375	0.23147289641201496	0.90234375	0.008479342485467592	4.486967007319133	0.36969523628552753
intrinsic_rank	4	lsso-r16	lsso	16	129	1	500	0.202394	0.011218944	5.2201884999994945	0.0838594138622284	0.96875	0.37572620809078217	0.86474609375	0.008828775025904179	5.368963559468587	0.47157446543375653
intrinsic_rank	4	lsso-r32	lsso	32	129	1	500	0.220826	0.016539648	5.383687899999131	0.1633068323135376	0.921875	0.2447816338390112	0.90576171875	0.008461123332381248	6.280089696248372	0.5505178968111674
intrinsic_rank	4	lsso-r64	lsso	64	129	1	500	0.25769	0.032065536	5.046816900001431	0.03372280299663544	0.9921875	0.345888152718544	0.892578125	0.008204801318546137	10.04879633585612	0.6486628651618958
intrinsic_rank	8	mha	mha	0	129	1	500	0.240386	0.023851584	3.5617008000008354	0.09780503064393997	0.953125	0.5181405320763588	0.8603515625			
intrinsic_rank	8	nystrom-r32	nystrom	32	129	1	500	0.259106	0.019747104	11.20855499999925	0.06528463959693909	0.9609375	0.8531054779887199	0.828125			
intrinsic_rank	8	performer-r32	performer	32	129	1	500	0.240386	0.01907136	6.005052999998952	0.009032338857650757	1.0	0.6519538387656212	0.85400390625			
intrinsic_rank	8	lsso-r4	lsso	4	129	1	500	0.18857	0.008054976	5.252592999999251	0.2353033423423767	0.8828125	0.36846408247947693	0.8447265625	0.008894101095696291	2.640027085940043	0.2392489810784658
intrinsic_rank	8	lsso-r8	lsso	8	129	1	500	0.193178	0.009040128	4.834274200000436	0.3092002868652344	0.8515625	0.3170491512864828	0.8623046875	0.008554129550854364	4.094427585601807	0.35918283462524414
intrinsic_rank	8	lsso-r16	lsso	16	129	1	500	0.202394	0.011218944	5.170905299999504	0.12576204538345337	0.953125	0.3562519773840904	0.84765625	0.008716491361459097	5.561861673990886	0.4917856454849243
intrinsic_rank	8	lsso-r32	lsso	32	129	1	500	0.220826	0.016539648	5.397711400000844	0.23977649211883545	0.90625	0.3665672279894352	0.85400390625	0.008595716518660387	7.131705125172933	0.5706695516904196
intrinsic_rank	8	lsso-r64	lsso	64	129	1	500	0.25769	0.032065536	5.086177999999563	0.2073141485452652	0.9375	0.3593996986746788	0.865234375	0.008275254474331936	9.8653351465861	0.656652053197225
intrinsic_rank	32	mha	mha	0	129	1	500	0.240386	0.023851584	3.502732199998718	0.17482665181159973	0.9375	0.7586537450551987	0.78759765625			
intrinsic_rank	32	nystrom-r32	nystrom	32	129	1	500	0.259106	0.019747104	11.149249999998574	0.011766776442527771	0.9921875	0.9414887651801109	0.791015625			
intrinsic_rank	32	performer-r32	performer	32	129	1	500	0.240386	0.01907136	5.963084700000763	0.04481172561645508	0.984375	0.7835037261247635	0.7705078125			
intrinsic_rank	32	lsso-r4	lsso	4	129	1	500	0.18857	0.008054976	5.3523270999994565	0.391223669052124	0.796875	0.5970746502280235	0.736328125	0.009072301909327507	2.8146777947743735	0.27486473321914673
intrinsic_rank	32	lsso-r8	lsso	8	129	1	500	0.193178	0.009040128	4.858483300000444	0.3834877014160156	0.8515625	0.38577403873205185	0.80859375	0.009303327649831772	3.7728353341420493	0.44606322050094604
intrinsic_rank	32	lsso-r16	lsso	16	129	1	500	0.202394	0.011218944	5.195640099998855	0.34606629610061646	0.8203125	0.3612574227154255	0.837890625	0.008723002237578234	6.78001610438029	0.40852304299672443
intrinsic_rank	32	lsso-r32	lsso	32	129	1	500	0.220826	0.016539648	5.284576300000481	0.46480870246887207	0.7734375	0.3679935000836849	0.83154296875	0.008626706277330717	7.497974554697673	0.5559287468592325
intrinsic_rank	32	lsso-r64	lsso	64	129	1	500	0.25769	0.032065536	5.014344699999128	0.09362076222896576	0.953125	0.49811163544654846	0.8193359375	0.008962236965696016	13.638812700907389	0.6491804917653402
